Position,Track Name,Artist,Streams,URL,Date,Unique ID
148,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,5287562,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,01.02.20,
149,If I Can't Have You,Shawn Mendes,5281458,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,01.02.20,
150,Roller,Apache 207,5253358,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M,01.02.20,
151,All I Want for Christmas Is You,Mariah Carey,5241737,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,01.02.20,
152,MIDDLE CHILD,J. Cole,5189291,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,01.02.20,
153,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,5182771,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,01.02.20,
154,Never Seen the Rain,Tones And I,5177796,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,01.02.20,
155,SENTADÃO,PEDRO SAMPAIO,5173753,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,01.02.20,
156,Combatchy (feat. MC Rebecca),Anitta,5149797,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw,01.02.20,
157,11:00 PM,Maluma,5147702,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,01.02.20,
158,Perreo en La Luna,Rich Music LTD,5147442,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,01.02.20,
159,Youngblood,5 Seconds of Summer,5127620,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,01.02.20,
160,Bruises,Lewis Capaldi,5119165,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,01.02.20,
161,Moonlight,XXXTENTACION,5092728,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,01.02.20,
162,all the good girls go to hell,Billie Eilish,5089157,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,01.02.20,
163,The London (feat. J. Cole & Travis Scott),Young Thug,5079458,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,01.02.20,
164,Jocelyn Flores,XXXTENTACION,5067880,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,01.02.20,
165,Get You The Moon (feat. Snøw),Kina,5067714,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,01.02.20,
166,Takeaway,The Chainsmokers,5035904,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,01.02.20,
167,Can We Kiss Forever?,Kina,5034157,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,01.02.20,
168,Wake Me Up,Avicii,5031074,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,01.02.20,
169,I Like Me Better,Lauv,5027238,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,01.02.20,
170,All Girls Are The Same,Juice WRLD,5022370,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,01.02.20,
171,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,5007648,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,01.02.20,
172,Let Me Down Slowly,Alec Benjamin,4992098,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,01.02.20,
173,"Alone, Pt. II",Alan Walker,4955994,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,01.02.20,
174,You Need To Calm Down,Taylor Swift,4905299,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,01.02.20,
175,Be Alright,Dean Lewis,4887023,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,01.02.20,
176,Pa' Olvidarme De Ella,Piso 21,4881894,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,01.02.20,
177,Only Human,Jonas Brothers,4877745,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,01.02.20,
178,Old Town Road,Lil Nas X,4852004,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH,01.02.20,
179,VALENTINO,24kGoldn,4849793,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,01.02.20,
180,Something Just Like This,The Chainsmokers,4845843,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,01.02.20,
181,Thunder,Imagine Dragons,4789895,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,01.02.20,
182,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,4780310,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,01.02.20,
183,2002,Anne-Marie,4743162,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,01.02.20,
184,All of Me,John Legend,4734547,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,01.02.20,
185,Death,Trippie Redd,4720218,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,01.02.20,
186,Post Malone (feat. RANI),Sam Feldt,4706229,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,01.02.20,
187,Let Me Know (I Wonder Why Freestyle),Juice WRLD,4701532,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx,01.02.20,
188,3 Nights,Dominic Fike,4688866,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,01.02.20,
189,Maniac,Conan Gray,4681587,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,01.02.20,
