Position,Track Name,Artist,Streams,URL,Date
189,You Need To Calm Down,Taylor Swift,4996135,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,01.30.20
190,223's (feat. 9lokknine),YNW Melly,4990374,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,01.30.20
191,idontwannabeyouanymore,Billie Eilish,4968841,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,01.30.20
192,Let Me Down Slowly,Alec Benjamin,4943790,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,01.30.20
193,Legends,Juice WRLD,4922369,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,01.30.20
194,SENTADÃO,PEDRO SAMPAIO,4922320,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,01.30.20
195,The London (feat. J. Cole & Travis Scott),Young Thug,4893893,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,01.30.20
196,11:00 PM,Maluma,4891989,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,01.30.20
197,Post Malone (feat. RANI),Sam Feldt,4855270,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,01.30.20
198,Que Calor (with J Balvin & El Alfa),Major Lazer,4851268,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,01.30.20
199,In Too Deep,Eminem,4824037,https://open.spotify.com/track/7Dj2wqPYXfSRFwa6qyOztr,01.30.20
200,God's Plan,Drake,4822513,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,01.30.20
