,,Position,Position,Position
,,count,min,max
Eminem,No Regrets (feat. Don Toliver),2,53,151
Eminem,Premonition - Intro,1,44,44
Eminem,Stepdad,1,67,67
Eminem,Those Kinda Nights (feat. Ed Sheeran),3,25,174
Eminem,Unaccommodating (feat. Young M.A),2,20,91
Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",1,68,68
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",3,22,191
Eslabon Armado,Dame Tu Calor,1,112,112
Fiona Apple,I Want You To Love Me,1,188,188
Fleetwood Mac,Dreams - 2004 Remaster,7,6,199
Fleetwood Mac,Landslide,1,160,160
Fleetwood Mac,The Chain - 2004 Remaster,3,105,161
Flipp Dinero,How I Move (feat. Lil Baby),12,118,191
Florida Georgia Line,I Love My Country,1,186,186
Fousheé,Deep End,1,191,191
Frank Ocean,Cayendo (Side A - Acoustic),1,89,89
Frank Ocean,Chanel,8,89,197
Frank Ocean,DHL,2,81,195
Frank Ocean,Dear April (Side A - Acoustic),1,68,68
Frank Ocean,In My Room,3,56,154
Frank Sinatra,Jingle Bells - Remastered 1999,1,157,157
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),5,20,146
Frank Sinatra,Mistletoe And Holly - Remastered 1999,4,67,179
Frank Sinatra,The First Noel - Remastered 1999,1,166,166
French Montana,Writing on the Wall (feat. Post Malone & Cardi B),1,111,111
French Montana,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",3,35,184
Future,All Bad (feat. Lil Uzi Vert),1,29,29
Future,D4L,2,15,132
Future,Fine China,1,113,113
Future,Hard To Choose One,1,105,105
Future,Harlem Shake (feat. Young Thug),1,95,95
Future,HiTek Tek,1,107,107
Future,Life Is Good (feat. Drake),41,2,89
Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",11,41,196
Future,One Of My,1,122,122
Future,Over Your Head,1,53,53
Future,Patek,7,92,165
Future,Posted With Demons,1,135,135
Future,Ridin Strikers,1,83,83
Future,Solitaires (feat. Travis Scott),9,14,196
Future,Too Comfortable,1,131,131
Future,Touch The Sky,1,121,121
Future,Trapped In The Sun,1,74,74
Future,Trillionaire (feat. Youngboy Never Broke Again),2,35,158
Future,Tycoon,1,81,81
Future,Up the River,1,188,188
G Herbo,PTSD,34,31,174
G-Eazy,Hate The Way (feat. blackbear),1,67,67
G-Eazy,I Wanna Rock (feat. Gunna),1,200,200
G-Eazy,Moana,3,106,181
G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),8,77,195
Gabby Barrett,I Hope,38,72,197
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),1,112,112
Glass Animals,Heat Waves,1,163,163
Glass Animals,Tangerine,1,102,102
Grouplove,Tongue Tied,28,119,200
Gunna,ADDYS (feat. Nechie),1,184,184
Gunna,ARGENTINA,1,84,84
Gunna,BLINDFOLD (feat. Lil Baby),1,74,74
Gunna,Baby Birkin,3,134,163
Gunna,COOLER THAN A BITCH (feat. Roddy Ricch),7,28,187
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),22,19,53
Gunna,FEIGNING,1,174,174
Gunna,GIMMICK,1,155,155
Gunna,MET GALA,1,101,101
Gunna,MOTW,1,128,128
Gunna,NASTY GIRL / ON CAMERA,1,115,115
Gunna,RELENTLESS (feat. Lil Uzi Vert),4,69,195
Gunna,SKYBOX,5,58,200
Gunna,TOP FLOOR (feat. Travis Scott),1,62,62
Gunna,WUNNA,3,35,156
Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),1,134,134
H.E.R.,Best Part (feat. Daniel Caesar),23,160,196
H.E.R.,Slide,2,159,168
HIXTAPE,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",5,167,198
Halsey,3am,1,106,106
Halsey,Ashley,1,130,130
Halsey,Finally // beautiful stranger,2,153,198
Halsey,Forever ... (is a long time),1,197,197
Halsey,Graveyard,16,48,166
Halsey,I HATE EVERYBODY,1,171,171
Halsey,Still Learning,1,90,90
Halsey,Without Me,34,81,199
Halsey,You should be sad,19,12,120
Halsey,clementine,1,187,187
Harry Styles,Adore You,46,3,84
Harry Styles,Canyon Moon,1,52,52
Harry Styles,Cherry,4,20,170
Harry Styles,Falling,45,11,169
Harry Styles,Fine Line,1,47,47
Harry Styles,Golden,4,21,174
Harry Styles,Lights Up,30,11,200
Harry Styles,She,2,28,179
Harry Styles,"Sunflower, Vol. 6",2,34,181
Harry Styles,To Be So Lonely,2,32,197
Harry Styles,Treat People With Kindness,1,57,57
Harry Styles,Watermelon Sugar,49,4,120
Headie One,Only You Freestyle,1,129,129
Idina Menzel,Into the Unknown,17,37,200
Idina Menzel,Show Yourself,3,79,165
Internet Money,Blastoff (feat. Juice Wrld & Trippie Redd),8,18,87
Internet Money,Lemonade,2,15,22
Internet Money,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],1,52,52
Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",8,1,7
Internet Money,"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",1,189,189
Internet Money,Somebody,12,50,180
J Balvin,Amarillo,1,89,89
J Balvin,LA CANCIÓN,15,108,195
J Balvin,Morado,1,154,154
J Balvin,Rojo,6,67,188
J Balvin,UN DIA (ONE DAY) (Feat. Tainy),13,43,102
J. Cole,Lion King On Ice,2,32,88
J. Cole,MIDDLE CHILD,52,50,159
J. Cole,No Role Modelz,33,124,199
J. Cole,Snow On Tha Bluff,3,49,134
J. Cole,The Climb Back,6,33,198
J.I the Prince of N.Y,Need Me,3,179,196
JACKBOYS,GANG GANG,3,22,157
JACKBOYS,GATTI,3,41,162
