Unnamed: 0,Unnamed: 1,Unnamed: 2,,,,
Position,Track Name,Artist,Streams,URL,Date,Unique ID
128,Without Me,Halsey,1941747,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,01.02.20,01.02.20_128
129,Hot Shower,Chance the Rapper,1920711,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf,01.02.20,01.02.20_129
130,ocean eyes,Billie Eilish,1916927,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,01.02.20,01.02.20_130
131,It's You,Ali Gatie,1907782,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,01.02.20,01.02.20_131
132,Immortal,21 Savage,1889669,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq,01.02.20,01.02.20_132
133,XO Tour Llif3,Lil Uzi Vert,1887498,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,01.02.20,01.02.20_133
134,One Man Band,Old Dominion,1886449,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR,01.02.20,01.02.20_134
135,Moonlight,XXXTENTACION,1881690,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,01.02.20,01.02.20_135
136,Panini - DaBaby Remix,Lil Nas X,1881560,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD,01.02.20,01.02.20_136
137,God's Plan,Drake,1864224,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,01.02.20,01.02.20_137
138,Millions,Young Thug,1861913,https://open.spotify.com/track/43YQDj1KOPMFAUcTEPKy4p,01.02.20,01.02.20_138
139,Candy,Doja Cat,1857037,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be,01.02.20,01.02.20_139
140,goosebumps,Travis Scott,1855025,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,01.02.20,01.02.20_140
141,Did It Again,Lil Tecca,1850844,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj,01.02.20,01.02.20_141
142,bury a friend,Billie Eilish,1849769,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,01.02.20,01.02.20_142
143,Shotta Flow (feat. Blueface) [Remix],NLE Choppa,1841920,https://open.spotify.com/track/5BJMeoCXXgbRAWfp6fTulr,01.02.20,01.02.20_143
144,High Fashion (feat. Mustard),Roddy Ricch,1820280,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,01.02.20,01.02.20_144
145,Eastside (with Halsey & Khalid),benny blanco,1816647,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,01.02.20,01.02.20_145
146,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1813304,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,01.02.20,01.02.20_146
147,Good as Hell,Lizzo,1812455,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR,01.02.20,01.02.20_147
148,Pure Water (with Migos),Mustard,1798579,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8,01.02.20,01.02.20_148
149,Cherry,Harry Styles,1795058,https://open.spotify.com/track/2IOFZdYYkFxEHVz1w34PoL,01.02.20,01.02.20_149
150,Golden,Harry Styles,1791410,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl,01.02.20,01.02.20_150
151,Fuck Love (feat. Trippie Redd),XXXTENTACION,1774438,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,01.02.20,01.02.20_151
152,Bad Bad Bad (feat. Lil Baby),Young Thug,1768678,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH,01.02.20,01.02.20_152
