Unnamed: 0,Unnamed: 1,Unnamed: 2,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,Unnamed: 4
Position,Track Name,Artist,Streams,URL
57,Legends,Juice WRLD,2836434,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
58,Start Wit Me (feat. Gunna),Roddy Ricch,2767556,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
59,Lights Up,Harry Styles,2759202,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
60,when the party's over,Billie Eilish,2745034,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
61,Make No Sense,YoungBoy Never Broke Again,2736384,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
62,Say So,Doja Cat,2732656,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
63,Vete,Bad Bunny,2664877,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
64,Beautiful People (feat. Khalid),Ed Sheeran,2647825,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
65,7 rings,Ariana Grande,2604475,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
66,Hate Me (with Juice WRLD),Ellie Goulding,2602704,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
67,Baby (Lil Baby feat. DaBaby),Quality Control,2591914,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
68,SUGAR,BROCKHAMPTON,2584458,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
69,SICKO MODE,Travis Scott,2570543,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
70,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2554371,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
71,Into the Unknown,Idina Menzel,2529129,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
72,VALENTINO,24kGoldn,2517294,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
73,Pop Out (feat. Lil Tjay),Polo G,2517207,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
74,Murder On My Mind,YNW Melly,2511255,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
