Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
74,Murder On My Mind,YNW Melly,2511255,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,01.02.20,01.02.20_074,20,01,02,2020,20200102
75,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2505716,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,01.02.20,01.02.20_075,20,01,02,2020,20200102
76,The London (feat. J. Cole & Travis Scott),Young Thug,2472331,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,01.02.20,01.02.20_076,20,01,02,2020,20200102
77,July,Noah Cyrus,2471620,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,01.02.20,01.02.20_077,20,01,02,2020,20200102
78,ORANGE SODA,Baby Keem,2428697,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,01.02.20,01.02.20_078,20,01,02,2020,20200102
79,Peta (feat. Meek Mill),Roddy Ricch,2424064,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,01.02.20,01.02.20_079,20,01,02,2020,20200102
80,SLOW DANCING IN THE DARK,Joji,2418211,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,01.02.20,01.02.20_080,20,01,02,2020,20200102
81,lovely (with Khalid),Billie Eilish,2410503,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,01.02.20,01.02.20_081,20,01,02,2020,20200102
82,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2396135,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,01.02.20,01.02.20_082,20,01,02,2020,20200102
83,Tusa,KAROL G,2380465,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,01.02.20,01.02.20_083,20,01,02,2020,20200102
84,Going Bad (feat. Drake),Meek Mill,2364631,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,01.02.20,01.02.20_084,20,01,02,2020,20200102
85,Panini,Lil Nas X,2341902,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,01.02.20,01.02.20_085,20,01,02,2020,20200102
86,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,2339104,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ,01.02.20,01.02.20_086,20,01,02,2020,20200102
87,Old Town Road - Remix,Lil Nas X,2330214,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,01.02.20,01.02.20_087,20,01,02,2020,20200102
88,JACKBOYS,JACKBOYS,2322556,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o,01.02.20,01.02.20_088,20,01,02,2020,20200102
89,rockstar (feat. 21 Savage),Post Malone,2319039,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,01.02.20,01.02.20_089,20,01,02,2020,20200102
90,6 Kiss,Trippie Redd,2312011,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58,01.02.20,01.02.20_090,20,01,02,2020,20200102
91,Lalala,Y2K,2310821,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,01.02.20,01.02.20_091,20,01,02,2020,20200102
92,SAD!,XXXTENTACION,2307772,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,01.02.20,01.02.20_092,20,01,02,2020,20200102
93,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2286767,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,01.02.20,01.02.20_093,20,01,02,2020,20200102
94,Talk (feat. Disclosure),Khalid,2284214,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,01.02.20,01.02.20_094,20,01,02,2020,20200102
95,Hot (feat. Gunna),Young Thug,2272554,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9,01.02.20,01.02.20_095,20,01,02,2020,20200102
96,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2270712,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,01.02.20,01.02.20_096,20,01,02,2020,20200102
97,EARFQUAKE,"Tyler, The Creator",2266323,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,01.02.20,01.02.20_097,20,01,02,2020,20200102
98,Graveyard,Halsey,2257139,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,01.02.20,01.02.20_098,20,01,02,2020,20200102
99,How Do You Sleep?,Sam Smith,2226013,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,01.02.20,01.02.20_099,20,01,02,2020,20200102
100,Enemies (feat. DaBaby),Post Malone,2211466,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF,01.02.20,01.02.20_100,20,01,02,2020,20200102
101,If the World Was Ending - feat. Julia Michaels,JP Saxe,2208719,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,01.02.20,01.02.20_101,20,01,02,2020,20200102
102,Armed And Dangerous,Juice WRLD,2197117,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,01.02.20,01.02.20_102,20,01,02,2020,20200102
103,Happier,Marshmello,2180266,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,01.02.20,01.02.20_103,20,01,02,2020,20200102
104,Before You Go,Lewis Capaldi,2173043,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,01.02.20,01.02.20_104,20,01,02,2020,20200102
105,RITMO (Bad Boys For Life),Black Eyed Peas,2157137,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,01.02.20,01.02.20_105,20,01,02,2020,20200102
